name,ra,dec,half_light_radius(arcmin),helio_dist(kpc)
NGC 6749,286.314,1.901,1.1,7.9
NGC 5904,229.638,2.081,1.77,7.5
NGC 6426,266.228,3.17,0.92,20.6
NGC 6934,308.547,7.404,0.69,15.6
NGC 7078,322.493,12.167,1.0,10.4
Ko 1,179.827,12.26,0.26,48.3
Pal 13,346.685,12.772,0.36,26.0
Pal 14,242.752,14.958,1.22,76.5
NGC 7006,315.372,16.187,0.44,41.2
NGC 5053,199.113,17.7,2.61,17.4
NGC 5024,198.23,18.168,1.31,17.9
NGC 4147,182.526,18.543,0.48,19.3
Pal 10,289.509,18.572,0.99,5.9
NGC 6838,298.444,18.779,1.67,4.0
Ko 2,119.571,26.255,0.21,34.7
NGC 5272,205.548,28.377,2.31,10.2
NGC 5466,211.364,28.534,2.3,16.0
Pal 4,172.32,28.974,0.51,108.7
NGC 6779,289.148,30.183,1.1,9.4
Pal 2,71.525,31.382,0.5,27.2
NGC 6205,250.422,36.46,1.69,7.1
NGC 2419,114.535,38.882,0.89,82.6
NGC 6341,259.281,43.136,1.02,8.3
NGC 6229,251.745,47.528,0.36,30.5
Pal 1,53.333,79.581,0.46,11.1
